policy,hysteresis,deadline_miss_rate,served_frames,abstain_frames,mean_accuracy,switch_count,switch_rate,onset_to_reconfig,clearance_to_reconfig,abstain_precision,abstain_recall,n_infeasible,n_abstain,tp,fp,fn
joint,fixed,0.30333333333333334,300,0,0.9214126984126983,5,0.016722408026755852,29.0,31.0,,0.0,12,0,0,0,12
joint,model_derived,0.29,300,0,0.9118571428571427,7,0.023411371237458192,26.5,31.0,,0.0,12,0,0,0,12
decoupled,fixed,0.35333333333333333,300,0,0.9320793650793652,7,0.023411371237458192,5.0,31.0,,0.0,12,0,0,0,12
decoupled,model_derived,0.33666666666666667,300,0,0.9254126984126985,7,0.023411371237458192,5.0,31.0,,0.0,12,0,0,0,12
memoryless,none,0.25333333333333335,300,0,0.9009920634920635,11,0.03678929765886288,3.5,31.0,,0.0,12,0,0,0,12
