policy,hysteresis,deadline_miss_rate,served_frames,abstain_frames,mean_accuracy,switch_count,switch_rate,onset_to_reconfig,clearance_to_reconfig,abstain_precision,abstain_recall,n_infeasible,n_abstain,tp,fp,fn
joint,fixed,0.38,300,0,0.995,7,0.023411371237458192,0.0,30.0,,0.0,3,0,0,0,3
joint,model_derived,0.37,300,0,0.995,9,0.030100334448160536,0.0,30.0,,0.0,3,0,0,0,3
decoupled,fixed,0.4,300,0,1.0,7,0.023411371237458192,6.0,30.0,,0.0,3,0,0,0,3
decoupled,model_derived,0.39666666666666667,300,0,1.0,9,0.030100334448160536,6.0,30.0,,0.0,3,0,0,0,3
memoryless,none,0.24,300,0,1.0,7,0.023411371237458192,4.0,32.0,,0.0,3,0,0,0,3
