policy,hysteresis,deadline_miss_rate,served_frames,abstain_frames,mean_accuracy,switch_count,switch_rate,onset_to_reconfig,clearance_to_reconfig,abstain_precision,abstain_recall,n_infeasible,n_abstain,tp,fp,fn
joint,fixed,0.3333333333333333,300,0,0.9066666666666666,11,0.03678929765886288,9.0,40.0,,0.0,12,0,0,0,12
joint,model_derived,0.31666666666666665,300,0,0.9283333333333333,11,0.03678929765886288,0.0,40.0,,0.0,12,0,0,0,12
decoupled,fixed,0.35333333333333333,300,0,0.9266666666666666,9,0.030100334448160536,9.0,40.0,,0.0,12,0,0,0,12
decoupled,model_derived,0.3333333333333333,300,0,0.9316666666666666,11,0.03678929765886288,4.0,40.0,,0.0,12,0,0,0,12
memoryless,none,0.22,300,0,0.8833333333333333,7,0.023411371237458192,3.0,54.0,,0.0,12,0,0,0,12
