policy,hysteresis,deadline_miss_rate,served_frames,abstain_frames,mean_accuracy,switch_count,switch_rate,onset_to_reconfig,clearance_to_reconfig,abstain_precision,abstain_recall,n_infeasible,n_abstain,tp,fp,fn
joint,fixed,0.37333333333333335,1500,0,0.9524444444444443,36,0.02401601067378252,43.0,35.0,,0.0,76,0,0,0,76
joint,model_derived,0.38133333333333336,1500,0,0.9624444444444443,48,0.032021347565043365,47.0,35.0,,0.0,76,0,0,0,76
decoupled,fixed,0.43866666666666665,1500,0,0.9766666666666667,18,0.01200800533689126,6.5,30.5,,0.0,76,0,0,0,76
decoupled,model_derived,0.45266666666666666,1500,0,0.9817777777777776,20,0.0133422281521014,6.5,30.5,,0.0,76,0,0,0,76
memoryless,none,0.22066666666666668,1500,0,0.819,54,0.03602401601067378,43.0,31.5,,0.0,76,0,0,0,76
