policy,hysteresis,deadline_miss_rate,served_frames,abstain_frames,mean_accuracy,switch_count,switch_rate,onset_to_reconfig,clearance_to_reconfig,abstain_precision,abstain_recall,n_infeasible,n_abstain,tp,fp,fn
joint,fixed,0.5196374622356495,662,838,1.0,29,0.019346230820547032,50.0,47.0,0.3997613365155131,0.9103260869565217,368,838,335,503,33
joint,model_derived,0.5144596651445966,657,843,1.0,31,0.02068045363575717,50.0,47.0,0.40094899169632264,0.9184782608695652,368,843,338,505,30
decoupled,fixed,0.5298295454545454,704,796,1.0,29,0.019346230820547032,8.0,47.0,0.39949748743718594,0.8641304347826086,368,796,318,478,50
decoupled,model_derived,0.5258019525801952,717,783,1.0,29,0.019346230820547032,8.0,47.0,0.40485312899106,0.8614130434782609,368,783,317,466,51
memoryless,none,0.48733333333333334,1500,0,0.8259690013690015,27,0.01801200800533689,7.0,45.5,,0.0,368,0,0,0,368
