config,model,imgsz,half,cpu_fallback,acc_overall,lat_median_nom_ms,lat_p95_nom_ms,lat_median_con_ms,lat_p95_con_ms,meets_deadline_nom,meets_deadline_con,acc_blur,acc_illumination,acc_occlusion,acc_nominal
C1,yolo11x,1280,False,False,1.0,217.2356041846797,220.61212896369398,442.027417011559,458.6299934540875,True,False,,,1.0,1.0
C2,yolo11x,640,False,False,0.97,57.67547897994518,59.17993378825486,141.0892920102924,149.13768185069785,True,True,,,1.0,0.967391304347826
C3,yolo11n,1280,False,False,0.7666666666666667,12.602895963937044,14.16403775801882,45.58154148980975,54.4691369170323,True,True,,,1.0,0.7463768115942029
C4,yolo11n,640,False,False,0.8333333333333334,5.107374978251755,6.413940386846662,21.773145999759436,27.213216025847938,True,True,,,1.0,0.8188405797101449
