config,model,imgsz,half,cpu_fallback,acc_overall,lat_median_nom_ms,lat_p95_nom_ms,lat_median_con_ms,lat_p95_con_ms,meets_deadline_nom,meets_deadline_con,acc_blur,acc_illumination,acc_occlusion,acc_nominal
C1,yolo11x,1280,False,False,1.0,196.25660449673887,198.2879312527075,381.1772704939358,399.9954722479742,True,False,,,1.0,1.0
C2,yolo11x,640,False,False,0.7611111111111111,54.824853999889456,55.99063059853506,133.69366650294978,143.34281489936984,True,True,,,0.7361111111111112,0.7621527777777778
C3,yolo11n,1280,False,False,0.5835555555555555,13.088875006360468,14.001901455776533,47.426354001800064,55.089329195470775,True,True,,,0.6666666666666666,0.5800925925925926
C4,yolo11n,640,False,False,0.530952380952381,5.8849790002568625,6.847437499527587,24.401603994192556,35.98824104774394,True,True,,,0.21388888888888888,0.5441633597883597
