policy,hysteresis,deadline_miss_rate,served_frames,abstain_frames,mean_accuracy,switch_count,switch_rate,onset_to_reconfig,clearance_to_reconfig,abstain_precision,abstain_recall,n_infeasible,n_abstain,tp,fp,fn
joint,fixed,0.2506811989100817,3303,0,0.7649398533341397,93,0.028164748637189582,7.0,32.0,,0.0,442,0,0,0,442
joint,model_derived,0.25158946412352406,3303,0,0.7638167849267845,101,0.030587522713506964,1.0,32.0,,0.0,442,0,0,0,442
decoupled,fixed,0.26369966696942176,3303,0,0.7768176163018211,87,0.026347668079951543,7.0,32.0,,0.0,442,0,0,0,442
decoupled,model_derived,0.26248864668483196,3303,0,0.7739763801000036,93,0.028164748637189582,6.0,32.0,,0.0,442,0,0,0,442
memoryless,none,0.26097487132909475,3303,0,0.782188236755703,99,0.02998182919442762,4.0,32.0,,0.0,442,0,0,0,442
